"","immune","endo","fibro","classic","basal"
"HES4",0,0,0.660057531876515,0,0
"ISG15",0,0.652284819850163,0.748478705982429,0.72423451740401,0.576699265092143
"AGRN",0,0,0,0,0.231082423107142
"SDF4",0,0.54238161337478,0.693775611306783,0.679291082148521,0.631462815267383
"MXRA8",0,0,0.841964419694347,0,0
"AURKAIP1",0,0.538506290231345,0.76258402483492,0.622577551886748,0.507146229493809
"CCNL2",0,0,0,0.380515693760562,0.657102981703826
"MRPL20",0,0.768534880631202,0.877837693146573,0.658111790670947,0.657102981703826
"VWA1",0,1.0382577103675,0,0,0
"SSU72",0,0.710066906826189,0.577401104725963,0.745089342013538,0.766020974039943
"GNB1",1.07580999779413,0.892759036457721,0.479468882581974,0.883934575018334,1.00538237436446
"RER1",0,0,0.596433542273662,0.750829127683103,0.622447473757086
"RPL22",1.09767982556604,2.42351169683342,2.48103739194831,1.63238885443753,1.0573638915681
"ICMT",0,0,0,0,0.349511872251605
"CAMTA1",0,0.796317096291278,0.700582882236763,0,0
"PARK7",0.941364607670383,1.20964535394532,1.42315723043458,1.06049556099131,1.18836641071121
"ERRFI1",0,0,0,0.71358054344315,1.14757311586381
"ENO1",1.86539945915656,1.13138927445167,1.41763861565272,1.67095152564244,2.28274883541145
"CLSTN1",0,0,0,0.607750454594531,0.743549092459195
"RBP7",0,0.966756883806652,0,0,0
"TARDBP",0,0,0,0,0.375433561858414
"PLOD1",0,0,0,0,0.372654545711993
"MFN2",0,0,0,0,0.314043462043532
"TNFRSF1B",1.20327325900185,0,0,0,0
"DHRS3",0,0,0,0,0.852203964516949
"EFHD2",0.715044357884699,0,0,0.713076760011025,1.02182194515223
"SPEN",0,0,0,0,0.423020254259858
"EPHA2",0,0,0,0,0.622447473757086
"SZRD1",0,0,0,0,0.465098803269082
"SDHB",0,0,0,0,0.324782646078472
"RCC2",0,0,0,0,0.657102981703826
"UBR4",0,0,0,0,0.527421342895668
"CAPZB",1.26040448542935,0.978388148581681,1.38276134383214,0.914957810056717,0.994723524829774
"MINOS1",0,1.01107620681292,1.2443890106948,0.4607686265314,0
"NBL1",0,0,1.37596146509349,0.594915833735091,0.208248363659353
"CAMK2N1",0,0,0,1.08370428710983,0.576699265092143
"DDOST",0,0,0,0.370238020956451,0.614822886852919
"HP1BP3",1.06175181676558,0.348667752720138,0.550497211570681,0.750126149678827,0.720529038055004
"EIF4G3",0,0,0,0,0.375433561858414
"ECE1",0,0.741477851562527,0,0,0.497535011767406
"USP48",0,0,0,0,0.243619100401801
"HSPG2",0,2.06951925205588,0,0.197265480668062,0.387250247781657
"CDC42",1.22312640619563,1.30650424725795,1.09491519971995,1.13926077763959,0.932304765192309
"KDM1A",0,0,0,0,0.393893059086526
"LUZP1",0,0,0,0,0.465098803269082
"HNRNPR",0.815049384524173,0.33056045754355,0.577761220456792,0.66499480023118,1.00318984973506
"ID3",0,1.63843615223899,1.43307688526553,0,0
"RPL11",2.90643752597114,3.24809187776682,3.27409939459737,2.70369772818635,2.41784360810409
"TCEB3",0,0,0,0,0.233625816610796
"SRRM1",0.725826913280957,0.589309416302384,0,0.598711726253776,0.66265599529301
"CLIC4",0,1.09697059273264,0.525542587751148,0,0
"SYF2",0,0.844678041333888,0.819745622109629,0.671886493240803,0.526322918834435
"TMEM50A",0,1.07977349383475,0.97165212891075,0.751982997633786,0.556812411390595
"STMN1",0,0,0,0,0.66562998489558
"SH3BGRL3",1.9284579948231,1.72200552008475,1.45082675735235,1.57612815451415,1.10633822565364
"CD52",1.31961480542943,0,0,0,0
"HMGN2",0.691004091200248,0.882437602979617,1.21232245089063,0.575317972807031,0.657102981703826
"SFN",0,0,0,0.71452642199606,1.41962821123451
"NUDC",0,0,0.649257254286836,0.583257727206558,0.643140230923982
"WASF2",0.777450283889491,1.06970406003586,0.797859453920156,0.47659988895259,0.923155297590635
"IFI6",0,1.05928392673965,0.658097444612452,1.1368655556376,0
"DNAJC8",0,0.60327103613536,0.741471502303195,0,0.526701156658577
"ATPIF1",0.66877100371613,1.12549600517472,1.05783927924215,1.20185656357929,0.826012176798491
"YTHDF2",0,0,0,0,0.39640819654913
"SRSF4",0,0,0,0,0.401766292794707
"LAPTM5",2.28663181137711,0,0,0,0
"PUM1",0,0,0,0,0.526701156658577
"SERINC2",0,0,0,0.695430389431637,0.497863729994237
"TINAGL1",0,0.848537061340119,0,0.603402356437852,0.830222228791509
"PTP4A2",1.18894842102634,0,0,0.998199657745635,0.990036210065473
"KPNA6",0,0,0,0,0.465870961959735
"EIF3I",0,0.640801355067846,0.819959093666474,0.73823514543559,1.07301650392516
"FAM167B",0,0.876869319187952,0,0,0
